k,a,b,c,h,V,E,F,euler,expected_V,V_ok,euler_ok,face_profile,h_stable
11,23,264,265,0.8,816,2158,1344,2,816,True,True,"[(3, 1340), (4, 2), (23, 1), (265, 1)]",True
12,25,312,313,0.2,962,2546,1586,2,962,True,True,"[(3, 1582), (4, 2), (25, 1), (313, 1)]",True
12,25,312,313,0.5,962,2546,1586,2,962,True,True,"[(3, 1582), (4, 2), (25, 1), (313, 1)]",True
12,25,312,313,0.8,962,2546,1586,2,962,True,True,"[(3, 1582), (4, 2), (25, 1), (313, 1)]",True
13,27,364,365,0.2,1120,2966,1848,2,1120,True,True,"[(3, 1844), (4, 2), (27, 1), (365, 1)]",True
13,27,364,365,0.5,1120,2966,1848,2,1120,True,True,"[(3, 1844), (4, 2), (27, 1), (365, 1)]",True
13,27,364,365,0.8,1120,2966,1848,2,1120,True,True,"[(3, 1844), (4, 2), (27, 1), (365, 1)]",True
14,29,420,421,0.2,1290,3418,2130,2,1290,True,True,"[(3, 2126), (4, 2), (29, 1), (421, 1)]",True
14,29,420,421,0.5,1290,3418,2130,2,1290,True,True,"[(3, 2126), (4, 2), (29, 1), (421, 1)]",True
14,29,420,421,0.8,1290,3418,2130,2,1290,True,True,"[(3, 2126), (4, 2), (29, 1), (421, 1)]",True
15,31,480,481,0.2,1472,3902,2432,2,1472,True,True,"[(3, 2428), (4, 2), (31, 1), (481, 1)]",True
15,31,480,481,0.5,1472,3902,2432,2,1472,True,True,"[(3, 2428), (4, 2), (31, 1), (481, 1)]",True
15,31,480,481,0.8,1472,3902,2432,2,1472,True,True,"[(3, 2428), (4, 2), (31, 1), (481, 1)]",True
16,33,544,545,0.2,1666,4418,2754,2,1666,True,True,"[(3, 2750), (4, 2), (33, 1), (545, 1)]",True
16,33,544,545,0.5,1666,4418,2754,2,1666,True,True,"[(3, 2750), (4, 2), (33, 1), (545, 1)]",True
16,33,544,545,0.8,1666,4418,2754,2,1666,True,True,"[(3, 2750), (4, 2), (33, 1), (545, 1)]",True
17,35,612,613,0.2,1872,4966,3096,2,1872,True,True,"[(3, 3092), (4, 2), (35, 1), (613, 1)]",True
17,35,612,613,0.5,1872,4966,3096,2,1872,True,True,"[(3, 3092), (4, 2), (35, 1), (613, 1)]",True
17,35,612,613,0.8,1872,4966,3096,2,1872,True,True,"[(3, 3092), (4, 2), (35, 1), (613, 1)]",True
18,37,684,685,0.2,2090,5546,3458,2,2090,True,True,"[(3, 3454), (4, 2), (37, 1), (685, 1)]",True
18,37,684,685,0.5,2090,5546,3458,2,2090,True,True,"[(3, 3454), (4, 2), (37, 1), (685, 1)]",True
18,37,684,685,0.8,2090,5546,3458,2,2090,True,True,"[(3, 3454), (4, 2), (37, 1), (685, 1)]",True
19,39,760,761,0.2,2320,6158,3840,2,2320,True,True,"[(3, 3836), (4, 2), (39, 1), (761, 1)]",True
19,39,760,761,0.5,2320,6158,3840,2,2320,True,True,"[(3, 3836), (4, 2), (39, 1), (761, 1)]",True
19,39,760,761,0.8,2320,6158,3840,2,2320,True,True,"[(3, 3836), (4, 2), (39, 1), (761, 1)]",True
20,41,840,841,0.2,2562,6802,4242,2,2562,True,True,"[(3, 4238), (4, 2), (41, 1), (841, 1)]",True
20,41,840,841,0.5,2562,6802,4242,2,2562,True,True,"[(3, 4238), (4, 2), (41, 1), (841, 1)]",True
20,41,840,841,0.8,2562,6802,4242,2,2562,True,True,"[(3, 4238), (4, 2), (41, 1), (841, 1)]",True
